mechanism,n,domain,protocol,epsilon_h,epsilon_c,lambda,deposit_multiplier,deadline_sec,premium,k_bits,honest_payoff,fraud_payoff,deterrence,ic
DirectAttest,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,95.942163,93.922296,4.500398,1
StrongDeposit,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,96.018163,52.521850,45.900844,1
Deposit+PoW,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,95.980163,65.636757,32.785937,1
NoVerify,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,95.942163,93.442190,4.980504,1
StrongDeposit,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,96.018163,52.521850,45.900844,1
Deposit+PoW,100000,2,brr,0.2,0.5,1.0,1.0,0.2,2.400531,18,95.980163,64.976611,33.446083,1
NoVerify,100000,2,brr,0.2,0.5,2.0,0.0,0.2,2.400531,23,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,2.0,0.0,0.2,2.400531,23,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,2.0,0.0,0.2,2.400531,23,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,2.0,0.0,0.2,2.400531,23,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,2.0,0.0,0.2,2.400531,23,95.942163,94.402402,4.020292,1
StrongDeposit,100000,2,brr,0.2,0.5,2.0,0.0,0.2,2.400531,23,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,2.0,0.0,0.2,2.400531,23,95.962163,91.912216,6.510478,1
