n,domain,protocol,epsilon_h,epsilon_c,lambda,k_bits,k_uncapped,k_capped,hash_rate,deadline_sec,deposit_multiplier,premium,added_pow_cost,deadline_penalty,slash,deterrence,ic
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.05,1.0,7.59114416,0.05734400,3.87290340,7.59114416,11.52139156,1
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.2,0.0,7.59114416,0.05734400,0.00026231,0.00000000,0.05760631,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.2,0.5,7.59114416,0.05734400,0.00026231,3.79557208,3.85317839,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.2,1.0,7.59114416,0.05734400,0.00026231,7.59114416,7.64875047,1
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,1.0,0.0,7.59114416,0.05734400,0.00000000,0.00000000,0.05734400,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,1.0,0.5,7.59114416,0.05734400,0.00000000,3.79557208,3.85291608,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,1.0,1.0,7.59114416,0.05734400,0.00000000,7.59114416,7.64848816,1
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,0.05,0.0,7.59114416,0.05734400,0.00000000,0.00000000,0.05734400,0
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,0.05,0.5,7.59114416,0.05734400,0.00000000,3.79557208,3.85291608,0
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,0.05,1.0,7.59114416,0.05734400,0.00000000,7.59114416,7.64848816,1
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,0.2,0.0,7.59114416,0.05734400,0.00000000,0.00000000,0.05734400,0
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,0.2,0.5,7.59114416,0.05734400,0.00000000,3.79557208,3.85291608,0
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,0.2,1.0,7.59114416,0.05734400,0.00000000,7.59114416,7.64848816,1
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,1.0,0.0,7.59114416,0.05734400,0.00000000,0.00000000,0.05734400,0
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,1.0,0.5,7.59114416,0.05734400,0.00000000,3.79557208,3.85291608,0
10000,2,brr,0.2,0.5,0.5,15,15,0,16777216,1.0,1.0,7.59114416,0.05734400,0.00000000,7.59114416,7.64848816,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,0.05,0.0,7.59114416,0.51609600,90.37832393,0.00000000,90.89441993,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,0.05,0.5,7.59114416,0.51609600,90.37832393,3.79557208,94.68999201,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,0.05,1.0,7.59114416,0.51609600,90.37832393,7.59114416,98.48556409,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,0.2,0.0,7.59114416,0.51609600,77.78934431,0.00000000,78.30544031,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,0.2,0.5,7.59114416,0.51609600,77.78934431,3.79557208,82.10101239,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,0.2,1.0,7.59114416,0.51609600,77.78934431,7.59114416,85.89658447,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,1.0,0.0,7.59114416,0.51609600,34.95300550,0.00000000,35.46910150,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,1.0,0.5,7.59114416,0.51609600,34.95300550,3.79557208,39.26467358,1
10000,2,brr,0.2,0.5,1.0,18,18,0,262144,1.0,1.0,7.59114416,0.51609600,34.95300550,7.59114416,43.06024566,1
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,0.05,0.0,7.59114416,0.51609600,63.68852844,0.00000000,64.20462444,1
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,0.05,0.5,7.59114416,0.51609600,63.68852844,3.79557208,68.00019652,1
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,0.05,1.0,7.59114416,0.51609600,63.68852844,7.59114416,71.79576860,1
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,0.2,0.0,7.59114416,0.51609600,19.18261613,0.00000000,19.69871213,1
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,0.2,0.5,7.59114416,0.51609600,19.18261613,3.79557208,23.49428421,1
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,0.2,1.0,7.59114416,0.51609600,19.18261613,7.59114416,27.28985629,1
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,1.0,0.0,7.59114416,0.51609600,0.03187302,0.00000000,0.54796902,0
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,1.0,0.5,7.59114416,0.51609600,0.03187302,3.79557208,4.34354110,0
10000,2,brr,0.2,0.5,1.0,18,18,0,2097152,1.0,1.0,7.59114416,0.51609600,0.03187302,7.59114416,8.13911318,1
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,0.05,0.0,7.59114416,0.51609600,3.87290340,0.00000000,4.38899940,0
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,0.05,0.5,7.59114416,0.51609600,3.87290340,3.79557208,8.18457148,1
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,0.05,1.0,7.59114416,0.51609600,3.87290340,7.59114416,11.98014356,1
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,0.2,0.0,7.59114416,0.51609600,0.00026231,0.00000000,0.51635831,0
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,0.2,0.5,7.59114416,0.51609600,0.00026231,3.79557208,4.31193039,0
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,0.2,1.0,7.59114416,0.51609600,0.00026231,7.59114416,8.10750247,1
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,1.0,0.0,7.59114416,0.51609600,0.00000000,0.00000000,0.51609600,0
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,1.0,0.5,7.59114416,0.51609600,0.00000000,3.79557208,4.31166808,0
10000,2,brr,0.2,0.5,1.0,18,18,0,16777216,1.0,1.0,7.59114416,0.51609600,0.00000000,7.59114416,8.10724016,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,0.05,0.0,7.59114416,16.76902400,94.86377917,0.00000000,111.63280317,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,0.05,0.5,7.59114416,16.76902400,94.86377917,3.79557208,115.42837525,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,0.05,1.0,7.59114416,16.76902400,94.86377917,7.59114416,119.22394733,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,0.2,0.0,7.59114416,16.76902400,94.42014579,0.00000000,111.18916979,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,0.2,0.5,7.59114416,16.76902400,94.42014579,3.79557208,114.98474187,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,0.2,1.0,7.59114416,16.76902400,94.42014579,7.59114416,118.78031395,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,1.0,0.0,7.59114416,16.76902400,92.08890408,0.00000000,108.85792808,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,1.0,0.5,7.59114416,16.76902400,92.08890408,3.79557208,112.65350016,1
10000,2,brr,0.2,0.5,2.0,23,23,0,262144,1.0,1.0,7.59114416,16.76902400,92.08890408,7.59114416,116.44907224,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,0.05,0.0,7.59114416,16.76902400,93.83186018,0.00000000,110.60088418,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,0.05,0.5,7.59114416,16.76902400,93.83186018,3.79557208,114.39645626,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,0.05,1.0,7.59114416,16.76902400,93.83186018,7.59114416,118.19202834,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,0.2,0.0,7.59114416,16.76902400,90.37832393,0.00000000,107.14734793,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,0.2,0.5,7.59114416,16.76902400,90.37832393,3.79557208,110.94292001,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,0.2,1.0,7.59114416,16.76902400,90.37832393,7.59114416,114.73849209,1
