seed,rho,segment_skew,epsilon_c,mechanism,buyer_utility,seller_revenue,seller_penalty,efficiency,accepted_fraud_rate,decision_regret
2026,0.0,0.5,2.0,TEE-PoW,14.6331,12.2000,0.0000,0.832047,0.000000,4.6164
2026,0.0,0.5,2.0,Deposit+PoW,16.2308,12.2000,0.0000,0.881588,0.000000,3.0187
2026,0.0,0.5,4.0,NoVerify,19.2657,12.4000,0.0000,0.981897,0.000000,0.0000
2026,0.0,0.5,4.0,DirectAttest,18.2223,12.4000,0.0000,0.949545,0.000000,1.0272
2026,0.0,0.5,4.0,RejectMismatch,18.3016,12.4000,0.0000,0.952002,0.000000,0.9479
2026,0.0,0.5,4.0,TEEOnly,18.2156,12.4000,0.0000,0.949336,0.000000,1.0339
2026,0.0,0.5,4.0,AuditSlash,17.6435,12.4000,0.0000,0.931596,0.000000,1.6060
2026,0.0,0.5,4.0,StrongDeposit,18.4337,12.4000,0.0000,0.956098,0.000000,0.8158
2026,0.0,0.5,4.0,ReputationOnly,18.7976,12.4000,0.0000,0.967384,0.000000,0.4519
2026,0.0,0.5,4.0,TEE-PoW,13.8918,12.4000,0.0000,0.815263,0.000000,5.3577
2026,0.0,0.5,4.0,Deposit+PoW,16.3596,12.4000,0.0000,0.891784,0.000000,2.8899
2026,0.0,0.5,8.0,NoVerify,19.2225,12.8000,0.0000,0.992962,0.000000,0.0270
2026,0.0,0.5,8.0,DirectAttest,18.6334,12.8000,0.0000,0.974694,0.000000,0.6161
2026,0.0,0.5,8.0,RejectMismatch,18.3055,12.8000,0.0000,0.964528,0.000000,0.9440
2026,0.0,0.5,8.0,TEEOnly,18.8968,12.8000,0.0000,0.982863,0.000000,0.3527
2026,0.0,0.5,8.0,AuditSlash,18.1635,12.8000,0.0000,0.960124,0.000000,1.0860
2026,0.0,0.5,8.0,StrongDeposit,18.2106,12.8000,0.0000,0.961584,0.000000,1.0389
2026,0.0,0.5,8.0,ReputationOnly,18.4220,12.8000,0.0000,0.968138,0.000000,0.8275
2026,0.0,0.5,8.0,TEE-PoW,14.6360,12.8000,0.0000,0.850742,0.000000,4.6135
2026,0.0,0.5,8.0,Deposit+PoW,16.6880,12.8000,0.0000,0.914371,0.000000,2.5615
2026,0.0,1.0,1.0,NoVerify,19.2906,12.1000,0.0000,0.973366,0.000000,0.0000
2026,0.0,1.0,1.0,DirectAttest,18.7033,12.1000,0.0000,0.955156,0.000000,0.5462
2026,0.0,1.0,1.0,RejectMismatch,18.7023,12.1000,0.0000,0.955124,0.000000,0.5472
2026,0.0,1.0,1.0,TEEOnly,18.3764,12.1000,0.0000,0.945018,0.000000,0.8731
2026,0.0,1.0,1.0,AuditSlash,18.3193,12.1000,0.0000,0.943249,0.000000,0.9302
2026,0.0,1.0,1.0,StrongDeposit,18.2512,12.1000,0.0000,0.941137,0.000000,0.9983
2026,0.0,1.0,1.0,ReputationOnly,18.4305,12.1000,0.0000,0.946697,0.000000,0.8190
2026,0.0,1.0,1.0,TEE-PoW,14.5955,12.1000,0.0000,0.827780,0.000000,4.6540
2026,0.0,1.0,1.0,Deposit+PoW,16.1893,12.1000,0.0000,0.877200,0.000000,3.0602
2026,0.0,1.0,2.0,NoVerify,19.0644,12.2000,0.0000,0.969455,0.000000,0.1851
